Accession,Strain_name,Year,Subtype,Host,Country,clade_global_phylogeny,general comments,tool_classification,"tool_mismatch (0=match, 999=noMatch)",clade_1A_MLsubset,match_1A_ML,clade_1B_MLsubset,match_1B_ML,clade_1C_MLsubset,match_1C_ML,clade_1A_MBsubset,match_1A_MB,clade_1B_MBsubset,match_1B_MB,clade_1C_MBsubset,match_1C_MB
AB434400,A/swine/Niigata/1/1977,1977,H1N1,Swine,Japan,1A.1,,1A.1,0,1A.1,match,,,,,1A.1,match,,,,
AB434408,A/swine/Ehime/1/1980,1980,H1N2,Swine,Japan,1A.1,,1A.1,0,1A.1,match,,,,,1A.1,match,,,,
AB434416,A/swine/Saitama/1996,1996,H1N2,Swine,Japan,1A.1,,1A.1,0,1A.1,match,,,,,,,,,,
AB441170,A/swine/Miyazaki/1/2006,2006,H1N2,Swine,Japan,1A.1,,1A.1,0,1A.1,match,,,,,,,,,,
AB514929,A/swine/Tochigi/1/2008,2008,H1N2,Swine,Japan,1A.1,,1A.1,0,1A.1,match,,,,,,,,,,
AB514936,A/swine/Ratchaburi/NIAH101942/2008,2008,H1N1,Swine,Thailand,1A.1,,1A.1,0,,,,,,,,,,,,
AB514937,A/swine/Ratchaburi/NIAH101942/2008,2008,H1N1,Swine,Thailand,1A.1,,1A.1,0,,,,,,,,,,,,
AB514938,A/swine/Ratchaburi/NIAH101942/2008,2008,H1N1,Swine,Thailand,1A.1,,1A.1,0,1A.1,match,,,,,,,,,,
AB531444,A/swine/Osaka/1/2009,2009,H1N1,Swine,Japan,1A.3.3.2,,1A.3.3.2,0,,,,,,,,,,,,
AB546149,A/pintail/Aomori/422/2007,2007,H1N1,Pintail,Japan,Other-Avian,Avian-Sw1C,Other-Avian,0,,,,,,,,,,,,
AB546153,A/pintail/Aomori/794/2008,2008,H1N1,Pintail,Japan,Other-Avian,Avian-Sw1C,Other-Avian,0,,,,,,,,,,,,
AB546157,A/pintail/Miyagi/1472/2008,2008,H1N1,Pintail,Japan,Other-Avian,Avian-Sw1C,Other-Avian,0,,,,,,,,,,,,
AB546162,A/pintail/Akita/1265/2008,2008,H1N2,Pintail,Japan,Other-Avian,Avian-Sw1C,Other-Avian,0,,,,,,,,,,,,
AB548746,A/swine/Saitama/01/2005,2005,H1N2,Swine,Japan,1A.1,,1A.1,0,,,,,,,,,,,,
AB548861,A/swine/Saitama/27/2003,2003,H1N2,Swine,Japan,1A.1,,1A.1,0,1A.1,match,,,,,1A.1,match,,,,
AB548862,A/swine/Saitama/1/2004,2004,H1N2,Swine,Japan,1A.1,,1A.1,0,1A.1,match,,,,,1A.1,match,,,,
AB548863,A/swine/Saitama/20/2004,2004,H1N2,Swine,Japan,1A.1,,1A.1,0,1A.1,match,,,,,,,,,,
AB571957,A/swine/Chiba/1/1991,1991,H1N2,Swine,Japan,1A.1,,1A.1,0,1A.1,match,,,,,1A.1,match,,,,
AB573800,A/swine/Okinawa/2/2005,2005,H1N1,Swine,Japan,1A.1,,1A.1,0,,,,,,,,,,,,
AB600849,A/swine/Okinawa/1/2005,2005,H1N1,Swine,Japan,1A.1,,1A.1,0,1A.1,match,,,,,1A.1,match,,,,
AB600850,A/swine/Niigata/729/2004,2004,H1N2,Swine,Japan,1A.1,,1A.1,0,,,,,,,,,,,,
AB600851,A/swine/Saitama/1/2000,2000,H1N2,Swine,Japan,1A.1,,1A.1,0,1A.1,match,,,,,1A.1,match,,,,
AB600852,A/swine/Saitama/21/2004,2004,H1N2,Swine,Japan,1A.1,,1A.1,0,1A.1,match,,,,,1A.1,match,,,,
AB600853,A/swine/Aomori/1/2005,2005,H1N2,Swine,Japan,1A.1,,1A.1,0,1A.1,match,,,,,,,,,,
AB620163,A/swine/Saraburi/NIAH100761_22/2009,2009,H1N1,Swine,Thailand,1A.1,,1A.1,0,,,,,,,,,,,,
AB620175,A/swine/Saraburi/NIAH116625_11/2009,2009,H1N1,Swine,Thailand,1A.1,,1A.1,0,,,,,,,,,,,,
AB620182,A/swine/Saraburi/NIAH116625_13/2009,2009,H1N1,Swine,Thailand,1A.1,,1A.1,0,,,,,,,,,,,,
AB620184,A/swine/Saraburi/NIAH116625_16/2009,2009,H1N1,Swine,Thailand,1A.1,,1A.1,0,1A.1,match,,,,,1A.1,match,,,,
AB620186,A/swine/Saraburi/NIAH116625_17/2009,2009,H1N1,Swine,Thailand,1A.1,,1A.1,0,,,,,,,,,,,,
AB620207,A/swine/Saraburi/NIAH116627_24/2009,2009,H1N1,Swine,Thailand,1A.3.3.2,,1A.3.3.2,0,,,,,,,,,,,,
AB628080,A/swine/Binh_Doung/02_16/2010,2010,H1N2,Swine,Viet_Nam,Other-Human,human-to-swine-Sw1B.2-like,Other-Human,0,,,1B.2,match,,,,,1B.2,match,,
AB670330,A/duck/Tsukuba/718/2005,2005,H1N1,Duck,Japan,Other-Avian,Avian-Sw1C,Other-Avian,0,,,,,,,,,,,,
AB704815,A/swine/Chachoengsao/NIAH107037_21/2011,2011,H1N1,Swine,Thailand,1A.3.3.2,,1A.3.3.2,0,,,,,,,,,,,,
AB704823,A/swine/Chachoengsao/NIAH107037_22/2011,2011,H1N1,Swine,Thailand,1A.3.3.2,,1A.3.3.2,0,1A.3.3.2,match,,,,,1A.3.3.2,match,,,,
AB704839,A/swine/Chachoengsao/NIAH107037_24/2011,2011,H1N1,Swine,Thailand,1A.3.3.2,,1A.3.3.2,0,1A.3.3.2,match,,,,,,,,,,
AB731585,A/swine/Gunma/1/2012,2012,H1N2,Swine,Japan,1A.3.3.2,,1A.3.3.2,0,,,,,,,,,,,,
AB740972,A/swine/Yamagata/11/2010,2010,H1N1,Swine,Japan,1A.3.3.2,,1A.3.3.2,0,1A.3.3.2,match,,,,,,,,,,
AB740983,A/swine/Yamagata/12/2010,2010,H1N1,Swine,Japan,1A.3.3.2,,1A.3.3.2,0,,,,,,,,,,,,
AB740995,A/swine/Yamagata/17/2010,2010,H1N1,Swine,Japan,1A.3.3.2,,1A.3.3.2,0,,,,,,,,,,,,
AB740999,A/swine/Yamagata/19/2010,2010,H1N1,Swine,Japan,1A.3.3.2,,1A.3.3.2,0,1A.3.3.2,match,,,,,,,,,,
AB741007,A/swine/Tochigi/2/2011,2011,H1N2,Swine,Japan,1A.1,,1A.1,0,1A.1,match,,,,,,,,,,
AB741015,A/swine/Mie/R02/2012,2012,H1N2,Swine,Japan,1A.1,,1A.1,0,1A.1,match,,,,,1A.1,match,,,,
AB741039,A/swine/Narita/aq21/2011,2011,H1N1,Swine,Japan,1A.3.3.2,,1A.3.3.2,0,,,,,,,,,,,,
AB762400,A/swine/Saitama/14/2004,2004,H1N2,Swine,Japan,1A.1,,1A.1,0,1A.1,match,,,,,1A.1,match,,,,
AB762401,A/swine/Saitama/01/2005,2005,H1N2,Swine,Japan,1A.1,,1A.1,0,1A.1,match,,,,,1A.1,match,,,,
AB762402,A/swine/BinhDuong/01_03/2010,2010,H1N1,Swine,Viet_Nam,1A.3.3.2,,1A.3.3.2,0,,,,,,,,,,,,
AB762403,A/swine/BinhDuong/01_07/2010,2010,H1N1,Swine,Viet_Nam,1A.3.3.2,,1A.3.3.2,0,1A.3.3.2,match,,,,,1A.3.3.2,match,,,,
AB762404,A/swine/NamDinh/11_05/2010,2010,H1N1,Swine,Viet_Nam,1A.3.3.2,,1A.3.3.2,0,,,,,,,,,,,,
AB762405,A/swine/NamDinh/VBLM03/2011,2011,H1N1,Swine,Viet_Nam,1A.3.3.2,,1A.3.3.2,0,1A.3.3.2,match,,,,,,,,,,
AB762406,A/swine/BaRiaVungTau/02_07_2/2011,2011,H1N1,Swine,Viet_Nam,1A.3.3.2,,1A.3.3.2,0,1A.3.3.2,match,,,,,1A.3.3.2,match,,,,
AB762407,A/swine/TienGiang/02_25_1/2011,2011,H1N1,Swine,Viet_Nam,1A.3.3.2,,1A.3.3.2,0,1A.3.3.2,match,,,,,1A.3.3.2,match,,,,
AB909398,A/swine/Hiroshima/8/2011,2011,H1N1,Swine,Japan,1A.3.3.2,,1A.3.3.2,0,1A.3.3.2,match,,,,,,,,,,
AB910571,A/swine/Kagoshima/23/2012,2012,H1N1,Swine,Japan,1A.3.3.2,,1A.3.3.2,0,1A.3.3.2,match,,,,,,,,,,
AB910579,A/swine/Chiba/30/2012,2012,H1N1,Swine,Japan,1A.1,,1A.1,0,1A.1,match,,,,,1A.1,match,,,,
AB911593,A/swine/Ibaraki/46/2010,2010,H1N1,Swine,Japan,1A.3.3.2,,1A.3.3.2,0,1A.3.3.2,match,,,,,,,,,,
AB911601,A/swine/Hiroshima/52/2011,2011,H1N1,Swine,Japan,1A.3.3.2,,1A.3.3.2,0,1A.3.3.2,match,,,,,,,,,,
AB911609,A/swine/Kagoshima/60/2010,2010,H1N1,Swine,Japan,1A.3.3.2,,1A.3.3.2,0,,,,,,,,,,,,
AB911617,A/swine/Kagoshima/65/2012,2012,H1N1,Swine,Japan,1A.3.3.2,,1A.3.3.2,0,1A.3.3.2,match,,,,,,,,,,
AB914484,A/swine/Chiba/14/2012,2012,H1N2,Swine,Japan,1A.1,,1A.1,0,,,,,,,,,,,,
AB914492,A/swine/Chiba/107/2012,2012,H1N2,Swine,Japan,1A.1,,1A.1,0,,,,,,,,,,,,
AB914500,A/swine/Chiba/119/2012,2012,H1N2,Swine,Japan,1A.1,,1A.1,0,,,,,,,,,,,,
AB921004,A/swine/Ibaraki/1/2013,2013,H1N2,Swine,Japan,1A.1,,1A.1,0,1A.1,match,,,,,1A.1,match,,,,
AB921005,A/swine/Gunma/1/2013,2013,H1N2,Swine,Japan,1A.1,,1A.1,0,,,,,,,,,,,,
AF085413,A/swine/Scotland/410440/94,1994,H1N2,Swine,United_Kingdom,1B.1,,1B.1,0,,,1B.1,match,,,,,1B.1,match,,
AF085414,A/swine/England/438207/94,1994,H1N2,Swine,United_Kingdom,1B.1,,1B.1,0,,,1B.1,match,,,,,1B.1,match,,
AF085415,A/swine/England/690421/95,1995,H1N2,Swine,United_Kingdom,1B.1.2,,1B.1.2,0,,,1B.1.2,match,,,,,1B.1.2,match,,
AF085416,A/swine/England/17394/96,1996,H1N2,Swine,United_Kingdom,1B.1.1,,1B.1.1,0,,,1B.1.1,match,,,,,1B.1.1,match,,
AF085417,A/swine/England/72685/96,1996,H1N2,Swine,United_Kingdom,1B.1.1,,1B.1.1,0,,,1B.1.1,match,,,,,1B.1.1,match,,
AF091307,A/swine/Wisconsin/1/61,1961,H1N1,Swine,USA,1A.1,,1A.1,0,1A.1,match,,,,,1A.1,match,,,,
AF091309,A/duck/Alberta/35/76,1976,H1N1,Duck,Canada,Other-Avian,Avian-Sw1C,Other-Avian,0,,,,,,,,,,,,
AF091310,A/turkey/Minnesota/1661/81,1981,H1N1,Turkey,USA,Other-Avian,Avian-Sw1C,Other-Avian,0,,,,,,,,,,,,
AF091311,A/mallard/Tennessee/11464/85,1985,H1N1,Mallard,USA,Other-Avian,Avian-Sw1C,Other-Avian,0,,,,,,,,,,,,
AF091313,A/duck/Bavaria/1/77,1977,H1N1,Duck,Germany,Other-Avian,,Other-Avian,0,,,,,,,,,,,,
AF091314,A/swine/Netherlands/3/80,1980,H1N1,Swine,Netherlands,1C.1,,1C.1,0,,,,,1C.1,match,,,,,1C.1,match
AF091315,A/swine/Italy_Virus/671/87,1987,H1N1,Swine,Italy,1C.1,,1C.1,0,,,,,1C.1,match,,,,,1C.1,match
AF091316,A/swine/Belgium/1/83,1983,H1N1,Swine,Belgium,1C.1,,1C.1,0,,,,,1C.1,match,,,,,1C.1,match
AF091317,A/swine/Netherlands/12/85,1985,H1N1,Swine,Netherlands,1C.1,,1C.1,0,,,,,1C.1,match,,,,,1C.1,match
AF116575,A/Brevig_Mission/1/1918,1918,H1N1,Human,USA,Other-Human,Human-Sw1B-like,Other-Human,0,,,,,,,,,,,,
AF116576,A/New_York/1/18,1918,H1N1,Human,USA,Other-Human,Human-Sw1B-like,Other-Human,0,,,,,,,,,,,,
AF222026,A/Swine/Wisconsin/125/97,1997,H1N1,Swine,USA,1A.1,,1A.1,0,1A.1,match,,,,,,,,,,
AF222027,A/Swine/Wisconsin/136/97,1997,H1N1,Swine,USA,1A.1,,1A.1,0,1A.1,match,,,,,1A.1,match,,,,
AF222028,A/Swine/Wisconsin/163/97,1997,H1N1,Swine,USA,1A.1,tool mismatch,1A.1-like,999,,,,,,,,,,,,
AF222029,A/Swine/Wisconsin/164/97,1997,H1N1,Swine,USA,1A.1,tool mismatch,1A.1-like,999,1A.1,match,,,,,,,,,,
AF222030,A/Swine/Wisconsin/166/97,1997,H1N1,Swine,USA,1A.1,tool mismatch,1A.1-like,999,1A.1,match,,,,,,,,,,
AF222031,A/Swine/Wisconsin/168/97,1997,H1N1,Swine,USA,1A.1,tool mismatch,1A.1-like,999,,,,,,,,,,,,
AF222032,A/Swine/Wisconsin/235/97,1997,H1N1,Swine,USA,1A.1,,1A.1,0,,,,,,,,,,,,
AF222033,A/Swine/Wisconsin/238/97,1997,H1N1,Swine,USA,1A.1,,1A.1,0,1A.1,match,,,,,,,,,,
AF222034,A/Swine/Wisconsin/457/98,1998,H1N1,Swine,USA,1A.1,tool mismatch,1A.1-like,999,1A.1,match,,,,,,,,,,
AF222035,A/Swine/Wisconsin/458/98,1998,H1N1,Swine,USA,1A.1,,1A.1,0,1A.1,match,,,,,1A.1,match,,,,
AF222036,A/Swine/Wisconsin/464/98,1998,H1N1,Swine,USA,1A.1,,1A.1,0,1A.1,match,,,,,1A.1,match,,,,
AF250124,A/Swine/Indiana/9K035/99,1999,H1N2,Swine,USA,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
AF320056,A/swine/France/3614/1984,1984,H1N1,Swine,France,1C.1,,1C.1,0,,,,,1C.1,match,,,,,1C.1,match
AF320057,A/swine/France/4203/1985,1985,H1N1,Swine,France,1C.1,,1C.1,0,,,,,1C.1,match,,,,,1C.1,match
AF320058,A/swine/France/4510/1986,1986,H1N1,Swine,France,1C.1,,1C.1,0,,,,,1C.1,match,,,,,1C.1,match
AF320059,A/swine/France/525/1994,1994,H1N1,Swine,France,1C.1,,1C.1,0,,,,,1C.1,match,,,,,1C.1,match
AF320060,A/swine/Netherlands/97/1981,1981,H1N1,Swine,Netherlands,1C.1,,1C.1,0,,,,,1C.1,match,,,,,1C.1,match
AF320061,A/swine/Netherlands/12/1985,1985,H1N1,Swine,Netherlands,1C.1,,1C.1,0,,,,,1C.1,match,,,,,1C.1,match
AF320062,A/Swine/Netherlands/1/87,1987,H1N1,Swine,Netherlands,1C.1,,1C.1,0,,,,,1C.1,match,,,,,1C.1,match
AF320063,A/swine/Netherlands/1743/1993,1993,H1N1,Swine,Netherlands,1C.1,,1C.1,0,,,,,1C.1,match,,,,,1C.1,match
AF320064,A/swine/Netherlands/609/1996,1996,H1N1,Swine,Netherlands,1C.1,,1C.1,0,,,,,1C.1,match,,,,,1C.1,match
AF320065,A/swine/Netherlands/386/1986,1986,H1N1,Swine,Netherlands,1C.1,,1C.1,0,,,,,1C.1,match,,,,,1C.1,match
AF320066,A/swine/Netherlands/477/1993,1993,H1N1,Swine,Netherlands,1C.1,,1C.1,0,,,,,1C.1,match,,,,,1C.1,match
AF320067,A/swine/Netherlands/25/1980,1980,H1N1,Swine,Netherlands,1C.1,,1C.1,0,,,,,1C.1,match,,,,,1C.1,match
AF386773,A/Switzerland/5389/95,1995,H1N1,Human,Switzerland,Other-Human,Human-Sw1B.2-like,Other-Human,0,,,,,,,,,,,,
AF386776,A/Hong_Kong/1035/98,1998,H1N1,Human,Hong_Kong,Other-Human,Human-Sw1B.2-like,Other-Human,0,,,,,,,,,,,,
AF386777,A/Hong_Kong/1035/98,1998,H1N1,Human,Hong_Kong,Other-Human,Human-Sw1B.2-like,Other-Human,0,,,,,,,,,,,,
AF386778,A/Hong_Kong/1035/98,1998,H1N1,Human,Hong_Kong,Other-Human,Human-Sw1B.2-like,Other-Human,0,,,human,match,,,,,human,match,,
AF386780,A/Hong_Kong/1134/98,1998,H1N1,Human,Hong_Kong,Other-Human,Human-Sw1B.2-like,Other-Human,0,,,human,match,,,,,human,match,,
AF408859,A/NWS/G70C,NON,H1N9,Human,,Other-Human,Human-Sw1B-like,Other-Human,0,,,,,,,,,,,,
AF455675,A/Swine/Ohio/891/01,2001,H1N2,Swine,USA,1A.3.3.3,,1A.3.3.3,0,1A.3.3.3,match,,,,,,,,,,
AF455676,A/Swine/North_Carolina/98225/01,2001,H1N2,Swine,USA,1A.2,,1A.2,0,,,,,,,,,,,,
AF455677,A/Swine/North_Carolina/93523/01,2001,H1N2,Swine,USA,1A.3.3,,1A.3.3,0,1A.3,no,,,,,1A.3.3,match,,,,
AF455678,A/Swine/Minnesota/55551/00,2000,H1N2,Swine,USA,1A.2,,1A.2,0,1A.2,match,,,,,1A.2,match,,,,
AF455679,A/Swine/Iowa/930/01,2001,H1N2,Swine,USA,1A.2,,1A.2,0,1A.2,match,,,,,,,,,,
AF455680,A/Swine/Indiana/P12439/00,2000,H1N2,Swine,USA,1A.3.3,,1A.3.3,0,,,,,,,,,,,,
AF455681,A/Swine/Illinois/100085A/01,2001,H1N2,Swine,USA,1A.3.3.3,,1A.3.3.3,0,1A.3.3.3,match,,,,,,,,,,
AF455682,A/Swine/Illinois/100084/01,2001,H1N2,Swine,USA,1A.3.3.3,,1A.3.3.3,0,,,,,,,,,,,,
AF494246,A/DSP/43,1943,H1N1,Human,,Other-Human,Human-Sw1B-like,Other-Human,0,,,,,,,,,,,,
AF494248,A/Marton/43,1943,H1N1,Human,,Other-Human,Human-Sw1B-like,Other-Human,0,,,,,,,,,,,,
AJ344002,A/swine/Cotes_dArmor/1515/1999,1999,H1N1,Swine,France,1C.1,,1C.1,0,,,,,1C.1,match,,,,,1C.1,match
AJ344003,A/swine/Belgium/117/96,1996,H1N1,Swine,Belgium,1C.1,,1C.1,0,,,,,1C.1,match,,,,,1C.1,match
AJ344004,A/swine/Cotes_dArmor/918/2000,2000,H1N1,Swine,France,1C.2.3,,1C.2.3,0,,,,,1C.2.3,match,,,,,1C.2.3,match
AJ344005,A/swine/Cotes_dArmor/800/00,2000,H1N2,Swine,France,1B.1.2.3,,1B.1.2.3,0,,,1B.1.2.3,match,,,,,1B.1.2.3,match,,
AJ344006,A/swine/Cotes_dArmor/799/00,2000,H1N2,Swine,France,1B.1.2.3,,1B.1.2.3,0,,,1B.1.2.3,match,,,,,1B.1.2.3,match,,
AJ344007,A/swine/Cotes_dArmor/790/97,1997,H1N2,Swine,France,1B.1.2.3,,1B.1.2.3,0,,,1B.1.2.3,match,,,,,1B.1.2.3,match,,
AJ344008,A/swine/Italy/1456_1/96,1996,H1N1,Swine,Italy,1C.1,,1C.1,0,,,,,1C.1,match,,,,,1C.1,match
AJ344009,A/swine/Italy/1390_5/95,1995,H1N1,Swine,Italy,1C.1,,1C.1,0,,,,,1C.1,match,,,,,1C.1,match
AJ344010,A/swine/Italy/1081/00,2000,H1N2,Swine,Italy,1B.1.2.1,,1B.1.2.1,0,,,1B.1.2.1,match,,,,,1B.1.2.1,match,,
AJ344011,A/swine/France/2111/1995,1995,H1N1,Swine,France,1C.1,,1C.1,0,,,,,1C.1,match,,,,,1C.1,match
AJ344012,A/swine/Italy/1521/98,1998,H1N2,Swine,Italy,1B.1.2.2,,1B.1.2.2,0,,,1B.1.2.2,match,,,,,1B.1.2.2,match,,
AJ344013,A/swine/Italy/2064/99,1999,H1N2,Swine,Italy,1C.2,,1C.2,0,,,,,1C.2,match,,,,,1C.2,match
AJ344015,A/swine/Finistere/2899/1982,1982,H1N1,Swine,France,1C.1,,1C.1,0,,,,,1C.1,match,,,,,1C.1,match
AJ344016,A/swine/Italy/1511/98,1998,H1N1,Swine,Italy,1C.1,,1C.1,0,,,,,1C.1,match,,,,,1C.1,match
AJ344017,A/swine/Italy/1509_6/97,1997,H1N1,Swine,Italy,1C.1,,1C.1,0,,,,,1C.1,match,,,,,1C.1,match
AJ344018,A/swine/Italy/3364/00,2000,H1N1,Swine,Italy,1C.2.2,,1C.2.2,0,,,,,1C.2.2,match,,,,,1C.2.2,match
AJ344019,A/swine/Italy/1498_2/97,1997,H1N1,Swine,Italy,1C.1,,1C.1,0,,,,,1C.1,match,,,,,1C.1,match
AJ344020,A/swine/Italy/1589/98,1998,H1N1,Swine,Italy,1C.1,,1C.1,0,,,,,1C.1,match,,,,,1C.1,match
AJ344021,A/swine/Cotes_dArmor/1455/1999,1999,H1N1,Swine,France,1C.2.3,,1C.2.3,0,,,,,1C.2.3,match,,,,,1C.2.3,match
AJ412708,A/swine/Cotes_dArmor/1121/2000,2000,H1N1,Swine,France,1C.2.3,,1C.2.3,0,,,,,1C.2.3,match,,,,,1C.2.3,match
AJ412709,A/swine/Cotes_dArmor/604/99,1999,H1N2,Swine,France,1B.1.1,,1B.1.1,0,,,1B.1.1,match,,,,,1B.1.1,match,,
AJ412710,A/swine/Cotes_dArmor/2433/98,1998,H1N2,Swine,France,1B.1.2.3,tool mismatch,1B.1.2.2-3-like,999,,,1B.1.2.3,match,,,,,1B.1.2.3,match,,
AJ412711,A/swine/Cotes_dArmor/1482/1999,1999,H1N1,Swine,France,1C.1,,1C.1,0,,,,,1C.1,match,,,,,1C.1,match
AJ412712,A/swine/Cotes_dArmor/1488/1999,1999,H1N1,Swine,France,1C.2.3,,1C.2.3,0,,,,,1C.2.3,match,,,,,1C.2.3,match
AJ517816,A/swine/Italy/110971/2001,2001,H1N1,Swine,Italy,1C.2.3,,1C.2.3,0,,,,,1C.2.3,match,,,,,1C.2.3,match
AJ517817,A/swine/Italy/13260/2001,2001,H1N1,Swine,Italy,1C.2,,1C.2,0,,,,,1C.2,match,,,,,1C.2,match
AJ517818,A/swine/Italy/10951/2001,2001,H1N1,Swine,Italy,1C.1,,1C.1,0,,,,,1C.1,match,,,,,1C.1,match
AJ517819,A/swine/Italy/3088/00,2000,H1N1,Swine,Italy,1C.1,,1C.1,0,,,,,1C.1,match,,,,,1C.1,match
AJ517820,A/swine/Cotes_dArmor/736/2001,2001,H1N1,Swine,France,1C.2.3,,1C.2.3,0,,,,,1C.2.3,match,,,,,1C.2.3,match
AM490218,A/swine/Morbihan/0070/2005,2005,H1N1,Swine,France,1C.2.1,,1C.2.1,0,,,,,1C.2.1,match,,,,,1C.2.1,match
AM490219,A/swine/Cotes_dArmor/0118/2006,2006,H1N1,Swine,France,1C.2.1,,1C.2.1,0,,,,,1C.2.1,match,,,,,1C.2.1,match
AM490220,A/swine/Cotes_dArmor/0184/2006,2006,H1N1,Swine,France,1C.2.1,,1C.2.1,0,,,,,1C.2.1,match,,,,,1C.2.1,match
AM490221,A/swine/Cotes_dArmor/0227/2005,2005,H1N1,Swine,France,1C.2.1,,1C.2.1,0,,,,,1C.2.1,match,,,,,1C.2.1,match
AM490222,A/swine/Cotes_dArmor/0250/2006,2006,H1N1,Swine,France,1C.2.1,,1C.2.1,0,,,,,1C.2.1,match,,,,,1C.2.1,match
AM490223,A/swine/Cotes_dArmor/0136_18/2006,2006,H1N1,Swine,France,1C.2.1,,1C.2.1,0,,,,,1C.2.1,match,,,,,1C.2.1,match
AM490224,A/swine/Cotes_dArmor/0136_17/2006,2006,H1N2,Swine,France,1B.1.2.3,,1B.1.2.3,0,,,1B.1.2.3,match,,,,,1B.1.2.3,match,,
AM503547,A/swine/Cotes_dArmor/0040/2007,2007,H1N2,Swine,France,1B.1.2.3,,1B.1.2.3,0,,,1B.1.2.3,match,,,,,1B.1.2.3,match,,
AM503894,A/swine/Cotes_dArmor/0190/2006,2006,H1N1,Swine,France,1B.1.2.3,,1B.1.2.3,0,,,1B.1.2.3,match,,,,,1B.1.2.3,match,,
AM503895,A/swine/Cotes_dArmor/0231/2006,2006,H1N1,Swine,France,1C.2.1,,1C.2.1,0,,,,,1C.2.1,match,,,,,1C.2.1,match
AM503896,A/swine/Cotes_dArmor/60293/2001,2001,H1N1,Swine,France,1B.1.1,,1B.1.1,0,,,1B.1.1,match,,,,,1B.1.1,match,,
